date,title,content,source,keywords,url,scraped_at
2025/12/20,诈骗者通过“转账记录投毒攻击”获得5000万美元后，已迅速转移至Tornado Cash,"金色财经报道，据SlowMist监测，通过“转账记录投毒攻击”获得5000万美元USDT的诈骗者在收到资金后30分钟内开始转移。该诈骗者首先通过MetaMask Swap将5000万美元USDT兑换为DAI，随后将所有DAI兑换为16,690枚ETH，最终将全部资金存入混币服务Tornado Cash。 
此前消息，某用户遭“转账记录投毒攻击”损失约5000万美元。",Jinse,"攻击, 诈骗",https://www.jinse.cn/lives/492431.html,2025-12-20T08:59:41.376181+00:00
2025/12/20,布鲁克林法院对Coinbase客服诈骗案嫌疑人提起诉讼，涉案金额约1600万美元,BlockBeats 消息，12 月 20 日，布鲁克林法院对 Coinbase 客服诈骗案嫌疑人 Ronald Spektor 提起诉讼，涉案金额约 1600 万美元。该嫌疑人涉嫌通过网络钓鱼及社会工程学手段，冒充 Coinbase 客服从 Coinbase 约 100 名用户处盗取近 1600 万美元。 目前其面临 31 项指控，包括一级重大盗窃罪、一级洗钱罪、诈骗计划及其他相关罪名。警方在调查期间查获被告约 10.5 万美元现金及价值 40 万美元的加密货币，地区检察官办公室正追查更多涉嫌被盗的加密货币资产。,BlockBeats,"被盗, 盗窃, 洗钱, 诈骗",https://www.theblockbeats.info/flash/325191,2025-12-20T08:58:24.759876+00:00
2025/12/20,Nic Carter：量子计算距离破解比特币仅剩「工程性难题」，170万枚比特币面临被攻击风险,BlockBeats 消息，12 月 20 日，智能合约之父、Castle Island Ventures 联合创始人 Nic Carter 发布长文表示，著名量子理论家和学者斯科特·阿伦森（Scott Aaronson）研究显示， 量子计算距离破解比特币仅仅是一个「极其困难」的工程难题，而不是需要新的基础物理学发现。 Nic Carter 指出，理论上，比特币可以进行软分叉，并采用「后量子」（PQ）签名方案。目前确实存在一些抗量子加密签名方案。但主要问题在于如何确定具体的后量子方案、组织软分叉，以及如何费力地将数千万个拥有余额的地址全部迁移过去。因此， 比特币防范量子计算破解所需的缓解措施可能需要近十年时间。 此外，由于大量易受攻击的比特币都存放在废弃地址中，而这些地址的所有者根本无法被强制转移他们的比特币，因此即使比特币升级到后量子签名， 它仍然面临着 170 万枚比特币被量子攻击者突然窃取的风险。 比特币不仅需要以有序且及时的方式进行升级，而且 比特币持有者还必须集体同意扣押这 170 万枚比特币才能消除这种风险——这在比特币历史上是前所未有的。 由此， Nic Carter 敦促并呼吁比特币社区和开发者尽快采取缓解措施，而不是用冷漠和过分乐观的态度看待量子计算威胁。,BlockBeats,攻击,https://www.theblockbeats.info/flash/325194,2025-12-20T08:58:24.175184+00:00
2025/12/20,中国沈阳警方破获跨境非法换汇案，涉比特币、泰达币等虚拟货币「对敲」交易,BlockBeats 消息，12 月 20 日，据新华网报道，一条美方通报的中国籍人员佟某某涉嫌为毒贩洗钱线索引起了我国警方高度重视，为查明真相，公安部部署辽宁省公安厅开展核实工作并在湖北武汉将企图潜逃出境的佟某某、陈某某当场抓获，两人已于今年九月被判处有期徒刑并处罚金。 据悉，佟某某主要通过「对敲」方式通过境内银行卡实施非法买卖外汇金额合计 1600 余万元人民币， 并在部分业务中指使境内人员购买比特币、泰达币等虚拟货币并转售给境外人员以换取美元现金 。侦查工作中警方同时发现一些不法分子在大额现金存取、虚拟货币交易等方面规避美方监管，目前已通过中美反洗钱合作沟通渠道反馈美方并就在反洗钱领域加强执法合作达成共识。,BlockBeats,"执法, 监管, 洗钱",https://www.theblockbeats.info/flash/325199,2025-12-20T08:58:23.567866+00:00
2025/12/10,Vitalik：以太坊偶发“失去最终性”并不构成严重风险,金色财经报道，Vitalik Buterin 称以太坊偶发“失去最终性”并不构成严重风险，关键是避免“错误最终化”。此次由 Prysm 客户端漏洞引发的最终性延迟下，链仍可正常运行。以太坊专家 Fabrizio Romano Genovese 表示，最终性暂失时以太坊更类似比特币，其最终性为概率型；以太坊规则为：区块获超 66% 验证者投票即“Justified”，再过两轮 Epoch（64 区块）即“Finalized”。他指出该情况曾在 2023 年 5 月发生。Polygon 称跨链与 L2 相关转账将等待最终性，存款可能延迟，但不会回滚或消息失效。,Jinse,"比特币, 以太坊",https://www.jinse.cn/lives/490946.html,2025-12-10T14:20:51.881924+00:00
